Device,Time,Alert,Lat/Lng,Address,Driver(s),Speed (mph)
Ricardo (NEW),01/15/2025 11:17:27 AM,Engine Idle,"38.465389°, -122.655968°","1205 Hidden Creek Pl, Santa Rosa, CA 95409, USA",N/A,0.0
Ricardo (NEW),01/15/2025 11:35:26 AM,Engine Idle,"38.464889°, -122.655838°","5150 Hwy 12, Santa Rosa, CA 95409, USA",N/A,0.0
Ricardo (NEW),01/15/2025 12:15:41 PM,Engine Idle,"38.464954°, -122.639030°","5780 Marsh Hawk Dr, Santa Rosa, CA 95409, USA",N/A,0.0
Ricardo (NEW),01/16/2025 08:20:20 AM,Engine Idle,"38.342705°, -122.715385°","466 Primero Ct, Cotati, CA 94931, USA",N/A,0.0
Ricardo (NEW),01/16/2025 01:24:36 PM,Engine Idle,"38.313263°, -122.310905°","1152 La Pintura Ln, Napa, CA 94558, USA",N/A,0.0
Ricardo (NEW),01/16/2025 02:10:48 PM,Engine Idle,"38.315113°, -122.301277°","1528 Pueblo Ave, Napa, CA 94558, USA",N/A,0.0
Ricardo (NEW),01/17/2025 12:39:29 PM,Engine Idle,"38.329044°, -122.522552°","2343 Sobre Vista Rd, Sonoma, CA 95476, USA",N/A,0.0
Ricardo (NEW),01/17/2025 01:06:42 PM,Engine Idle,"38.304535°, -122.494011°","844 Craig Ave, Sonoma, CA 95476, USA",N/A,0.0
Ricardo (NEW),01/17/2025 03:44:31 PM,Harsh Braking,"38.283695°, -122.715576°","725 Pepper Rd, Petaluma, CA 94952, USA",N/A,8.3
Ricardo (NEW),01/22/2025 09:12:03 AM,Engine Idle,"38.433315°, -122.683250°","1501 Neotomas Ave, Santa Rosa, CA 95405, USA",N/A,0.0
Ricardo (NEW),01/22/2025 02:44:09 PM,Engine Idle,"38.426060°, -122.762733°","945 Doubles Dr, Santa Rosa, CA 95407, USA",N/A,0.0
Ricardo (NEW),01/22/2025 04:48:47 PM,Engine Idle,"38.344200°, -122.718567°","92 Ronda St, Rohnert Park, CA 94928, USA",N/A,0.0
